date,spot_px,fut_px,spot_pos,fut_pos,spot_pnl,fut_pnl,net_pnl,nav
2021-03-27T00:00:00+00:00,55817.14,59263.84,18.173362000000004,10000,14385.12,-141759.14,-127374.02,1149015.37
2021-03-28T00:00:00+00:00,55777.630000000005,59066.08,18.173362000000004,10000,-718.03,3545.51,2827.48,1151842.85
2021-03-29T00:00:00+00:00,57635.47,61706.45,18.173362000000004,10000,33763.2,-45811.55,-12048.35,1139794.5
2021-03-30T00:00:00+00:00,58746.57,63241.15,18.173362000000004,10000,20192.42,-26124.08,-5931.66,1133862.85
2021-03-31T00:00:00+00:00,58740.55,63493.06,18.173362000000004,10000,-109.4,-4288.52,-4397.92,1129464.92
2021-04-01T00:00:00+00:00,58720.44,63448.11,18.173362000000004,10000,-365.47,765.49,400.03,1129864.95
2021-04-02T00:00:00+00:00,58950.01,63787.46,18.173362000000004,10000,4172.06,-5756.57,-1584.51,1128280.44
2021-04-03T00:00:00+00:00,57051.94,61433.78,18.173362000000004,10000,-34494.31,41255.04,6760.73,1135041.16
2021-04-04T00:00:00+00:00,58202.01,62762.3,18.173362000000004,10000,20900.64,-22826.02,-1925.38,1133115.78
2021-04-05T00:00:00+00:00,59129.990000000005,64492.81,18.173362000000004,10000,16864.52,-29266.2,-12401.68,1120714.1
2021-04-06T00:00:00+00:00,57991.15,62683.46,18.173362000000004,10000,-20696.55,31200.45,10503.9,1131218.0
2021-04-07T00:00:00+00:00,55953.45,59787.34,18.173362000000004,10000,-37031.86,51759.45,14727.59,1145945.59
2021-04-08T00:00:00+00:00,58077.520000000004,62515.09,18.173362000000004,10000,38601.49,-46967.4,-8365.91,1137579.69
2021-04-09T00:00:00+00:00,58142.54,62593.52,18.173362000000004,10000,1181.63,-1348.93,-167.29,1137412.4
2021-04-10T00:00:00+00:00,59769.130000000005,65474.16,18.173362000000004,10000,29560.61,-48196.12,-18635.51,1118776.89
2021-04-11T00:00:00+00:00,60002.43,65661.16,18.173362000000004,10000,4239.85,-3116.54,1123.3,1119900.19
2021-04-12T00:00:00+00:00,59860.0,65335.32,18.173362000000004,10000,-2588.43,5443.37,2854.94,1122755.13
2021-04-13T00:00:00+00:00,63575.0,70092.33,18.173362000000004,10000,67514.04,-74825.17,-7311.13,1115444.0
2021-04-14T00:00:00+00:00,62959.53,68120.37,18.173362000000004,10000,-11185.16,31321.07,20135.91,1135579.91
2021-04-15T00:00:00+00:00,63159.979999999996,68463.61,18.173362000000004,10000,3642.85,-5434.45,-1791.6,1133788.31
2021-04-16T00:00:00+00:00,61334.8,65654.34,18.173362000000004,10000,-33169.66,45802.22,12632.56,1146420.87
2021-04-17T00:00:00+00:00,60006.66,63725.67,18.173362000000004,10000,-24136.77,32140.93,8004.16,1154425.04
2021-04-18T00:00:00+00:00,56150.009999999995,58559.09,18.173362000000004,10000,-70088.3,92013.87,21925.58,1176350.61
2021-04-19T00:00:00+00:00,55633.14,58365.27,18.173362000000004,10000,-9393.27,3483.89,-5909.37,1170441.24
2021-04-20T00:00:00+00:00,56425.0,59019.44,18.173362000000004,10000,14390.76,-11593.62,2797.14,1173238.38
2021-04-21T00:00:00+00:00,53787.630000000005,56369.56,18.173362000000004,10000,-47929.88,49265.6,1335.72,1174574.11
2021-04-22T00:00:00+00:00,51690.96000000001,53698.77,18.173362000000004,10000,-38103.54,51668.42,13564.87,1188138.98
2021-04-23T00:00:00+00:00,51125.14,52917.45,18.173362000000004,10000,-10282.85,15282.5,4999.65,1193138.63
2021-04-24T00:00:00+00:00,50047.84,51763.77,18.173362000000004,10000,-19578.16,23051.54,3473.38,1196612.01
2021-04-25T00:00:00+00:00,49066.770000000004,50912.88,18.173362000000004,10000,-17829.34,17341.47,-487.87,1196124.14
2021-04-26T00:00:00+00:00,54001.39,56223.05,18.173362000000004,10000,89678.64,-98333.95,-8655.31,1187468.83
2021-04-27T00:00:00+00:00,55011.97,57168.44,18.173362000000004,10000,18365.64,-17185.17,1180.47,1188649.29
2021-04-28T00:00:00+00:00,54846.22,56961.58,18.173362000000004,10000,-3012.23,3771.64,759.4,1189408.69
2021-04-29T00:00:00+00:00,53555.0,55482.89,18.173362000000004,10000,-23465.81,27610.68,4144.87,1193553.57
2021-04-30T00:00:00+00:00,57694.270000000004,60093.17,18.173362000000004,10000,75224.45,-79908.8,-4684.35,1188869.22
2021-05-01T00:00:00+00:00,57800.369999999995,60245.93,18.173362000000004,10000,1928.19,-2642.89,-714.7,1188154.52
2021-05-02T00:00:00+00:00,56578.21,58704.7,18.173362000000004,10000,-22210.76,27240.7,5029.94,1193184.46
2021-05-03T00:00:00+00:00,57169.39,59147.85,18.173362000000004,10000,10743.73,-7751.53,2992.2,1196176.67
2021-05-04T00:00:00+00:00,53200.01,54709.76,18.173362000000004,10000,-72136.98,83422.73,11285.75,1207462.41
2021-05-05T00:00:00+00:00,57436.11,59866.91,18.173362000000004,10000,76984.18,-89789.33,-12805.15,1194657.26
2021-05-06T00:00:00+00:00,56393.68,58456.28,18.173362000000004,10000,-18944.46,25013.97,6069.52,1200726.78
2021-05-07T00:00:00+00:00,57314.75,59222.91,18.173362000000004,10000,16738.94,-13375.79,3363.15,1204089.93
2021-05-08T00:00:00+00:00,58862.05,61380.64,18.173362000000004,10000,28119.64,-36657.4,-8537.76,1195552.16
2021-05-09T00:00:00+00:00,58240.84,60483.88,18.173362000000004,10000,-11289.47,15397.44,4107.97,1199660.13
2021-05-10T00:00:00+00:00,55816.14,57607.15,18.173362000000004,10000,-44064.95,51539.39,7474.44,1207134.58
2021-05-11T00:00:00+00:00,56670.020000000004,58698.87,18.173362000000004,10000,15517.87,-19264.51,-3746.64,1203387.94
2021-05-12T00:00:00+00:00,49631.32,50938.3,18.173362000000004,10000,-127916.84,156364.37,28447.53,1231835.46
2021-05-13T00:00:00+00:00,49670.97,51094.44,18.173362000000004,10000,720.57,-3143.49,-2422.91,1229412.55
2021-05-14T00:00:00+00:00,49841.45,51121.85,18.173362000000004,10000,3098.19,-549.94,2548.25,1231960.8
2021-05-15T00:00:00+00:00,46762.99,47710.04,18.173362000000004,10000,-55945.97,72959.62,17013.65,1248974.45
2021-05-16T00:00:00+00:00,46431.5,47261.3,18.173362000000004,10000,-6024.29,9664.56,3640.27,1252614.73
2021-05-17T00:00:00+00:00,43538.04,44185.73,18.173362000000004,10000,-52583.9,70640.98,18057.09,1270671.81
2021-05-18T00:00:00+00:00,42849.78,43402.96,18.173362000000004,10000,-12508.0,18267.77,5759.77,1276431.59
2021-05-19T00:00:00+00:00,36690.09,37066.16,18.173362000000004,10000,-111942.28,172711.49,60769.21,1337200.8
2021-05-20T00:00:00+00:00,40526.64,40856.74,18.173362000000004,10000,69723.01,-93533.04,-23810.03,1313390.77
2021-05-21T00:00:00+00:00,37252.009999999995,37415.86,18.173362000000004,10000,-59511.04,92367.63,32856.6,1346247.36
2021-05-22T00:00:00+00:00,37449.729999999996,37633.74,18.173362000000004,10000,3593.24,-5817.93,-2224.7,1344022.67
2021-05-23T00:00:00+00:00,34655.25,34690.68,18.173362000000004,10000,-50785.1,84923.93,34138.83,1378161.5
2021-05-24T00:00:00+00:00,38796.29,38950.41,18.173362000000004,10000,75256.62,-109797.35,-34540.74,1343620.77
2021-05-25T00:00:00+00:00,38324.72,38583.9,18.173362000000004,10000,-8570.01,9563.28,993.27,1344614.03
2021-05-26T00:00:00+00:00,39241.91,39480.8,18.173362000000004,10000,16668.43,-22855.67,-6187.24,1338426.79
2021-05-27T00:00:00+00:00,38529.979999999996,38669.4,18.173362000000004,10000,-12938.16,21058.93,8120.76,1346547.56
2021-05-28T00:00:00+00:00,35663.490000000005,35784.46,18.173362000000004,10000,-52093.76,80893.37,28799.61,1375347.17
2021-05-29T00:00:00+00:00,34605.15,34627.6,18.173362000000004,10000,-19233.6,33430.28,14196.69,1389543.86
2021-05-30T00:00:00+00:00,35641.270000000004,35694.02,18.173362000000004,10000,18829.78,-29920.93,-11091.15,1378452.71
