funding_time_ms,funding_time,funding_rate
1615334400007,2021-03-10T00:00:00.007000+00:00,0.00013854
1615363200007,2021-03-10T08:00:00.007000+00:00,0.00052337
1615392000011,2021-03-10T16:00:00.011000+00:00,0.00090875
1615420800001,2021-03-11T00:00:00.001000+00:00,0.00117404
1615449600008,2021-03-11T08:00:00.008000+00:00,0.00079964
1615478400000,2021-03-11T16:00:00+00:00,0.00097528
1615507200010,2021-03-12T00:00:00.010000+00:00,0.00139417
1615536000000,2021-03-12T08:00:00+00:00,0.00058297
1615564800003,2021-03-12T16:00:00.003000+00:00,0.00036387
1615593600016,2021-03-13T00:00:00.016000+00:00,0.00034691
1615622400001,2021-03-13T08:00:00.001000+00:00,0.00041487
1615651200007,2021-03-13T16:00:00.007000+00:00,0.00165794
1615680000000,2021-03-14T00:00:00+00:00,0.00126828
1615708800000,2021-03-14T08:00:00+00:00,0.00095158
1615737600001,2021-03-14T16:00:00.001000+00:00,0.00094855
1615766400000,2021-03-15T00:00:00+00:00,0.00071658
1615795200000,2021-03-15T08:00:00+00:00,0.00078014
1615824000026,2021-03-15T16:00:00.026000+00:00,5.084e-05
1615852800008,2021-03-16T00:00:00.008000+00:00,0.0001
1615881600000,2021-03-16T08:00:00+00:00,0.0001
1615910400001,2021-03-16T16:00:00.001000+00:00,0.00014614
1615939200011,2021-03-17T00:00:00.011000+00:00,0.00016828
1615968000005,2021-03-17T08:00:00.005000+00:00,0.0001
1615996800000,2021-03-17T16:00:00+00:00,0.0001
1616025600000,2021-03-18T00:00:00+00:00,0.0002321
1616054400000,2021-03-18T08:00:00+00:00,0.00048914
1616083200000,2021-03-18T16:00:00+00:00,0.00031685
1616112000006,2021-03-19T00:00:00.006000+00:00,0.0001
1616140800002,2021-03-19T08:00:00.002000+00:00,0.0001
1616169600032,2021-03-19T16:00:00.032000+00:00,0.00017285
1616198400009,2021-03-20T00:00:00.009000+00:00,0.0001
1616227200005,2021-03-20T08:00:00.005000+00:00,0.0001
1616256000012,2021-03-20T16:00:00.012000+00:00,0.00075609
1616284800016,2021-03-21T00:00:00.016000+00:00,0.00032536
1616313600000,2021-03-21T08:00:00+00:00,0.0001
1616342400005,2021-03-21T16:00:00.005000+00:00,0.0001
1616371200004,2021-03-22T00:00:00.004000+00:00,0.0001
1616400000008,2021-03-22T08:00:00.008000+00:00,0.00041167
1616428800000,2021-03-22T16:00:00+00:00,0.00010513
1616457600014,2021-03-23T00:00:00.014000+00:00,0.0001
1616486400000,2021-03-23T08:00:00+00:00,0.0001
1616515200022,2021-03-23T16:00:00.022000+00:00,0.0001
1616544000001,2021-03-24T00:00:00.001000+00:00,0.00027815
1616572800010,2021-03-24T08:00:00.010000+00:00,0.00013395
1616601600014,2021-03-24T16:00:00.014000+00:00,0.00027883
1616630400010,2021-03-25T00:00:00.010000+00:00,0.0001
1616659200002,2021-03-25T08:00:00.002000+00:00,0.0001
1616688000003,2021-03-25T16:00:00.003000+00:00,0.0001
1616716800000,2021-03-26T00:00:00+00:00,0.0001
1616745600009,2021-03-26T08:00:00.009000+00:00,0.0001
1616774400019,2021-03-26T16:00:00.019000+00:00,0.0001
1616803200017,2021-03-27T00:00:00.017000+00:00,3.375e-05
1616832000001,2021-03-27T08:00:00.001000+00:00,0.0001
1616860800011,2021-03-27T16:00:00.011000+00:00,0.0001
1616889600000,2021-03-28T00:00:00+00:00,0.0001
1616918400009,2021-03-28T08:00:00.009000+00:00,0.0001
1616947200001,2021-03-28T16:00:00.001000+00:00,0.00020043
1616976000000,2021-03-29T00:00:00+00:00,0.00030181
1617004800000,2021-03-29T08:00:00+00:00,0.00034919
1617033600008,2021-03-29T16:00:00.008000+00:00,0.0005986
1617062400018,2021-03-30T00:00:00.018000+00:00,0.00063515
1617091200008,2021-03-30T08:00:00.008000+00:00,0.00065178
1617120000003,2021-03-30T16:00:00.003000+00:00,0.00099424
1617148800002,2021-03-31T00:00:00.002000+00:00,0.00052719
1617177600002,2021-03-31T08:00:00.002000+00:00,0.00097595
1617206400016,2021-03-31T16:00:00.016000+00:00,0.0007011
1617235200024,2021-04-01T00:00:00.024000+00:00,0.00098624
1617264000000,2021-04-01T08:00:00+00:00,0.00080527
1617292800002,2021-04-01T16:00:00.002000+00:00,0.00069192
1617321600001,2021-04-02T00:00:00.001000+00:00,0.00064517
1617350400000,2021-04-02T08:00:00+00:00,0.00138063
1617379200010,2021-04-02T16:00:00.010000+00:00,0.00072502
1617408000000,2021-04-03T00:00:00+00:00,0.00043509
1617436800015,2021-04-03T08:00:00.015000+00:00,0.001042
1617465600002,2021-04-03T16:00:00.002000+00:00,0.00079852
1617494400007,2021-04-04T00:00:00.007000+00:00,0.00033239
1617523200005,2021-04-04T08:00:00.005000+00:00,0.00035344
1617552000017,2021-04-04T16:00:00.017000+00:00,0.00020747
1617580800004,2021-04-05T00:00:00.004000+00:00,0.00054341
1617609600000,2021-04-05T08:00:00+00:00,0.00038983
1617638400000,2021-04-05T16:00:00+00:00,0.0006932
1617667200011,2021-04-06T00:00:00.011000+00:00,0.00113095
1617696000000,2021-04-06T08:00:00+00:00,0.00068014
1617724800007,2021-04-06T16:00:00.007000+00:00,0.00069102
1617753600000,2021-04-07T00:00:00+00:00,0.0003694
1617782400002,2021-04-07T08:00:00.002000+00:00,0.00042515
1617811200000,2021-04-07T16:00:00+00:00,0.00022141
1617840000012,2021-04-08T00:00:00.012000+00:00,0.00033404
1617868800001,2021-04-08T08:00:00.001000+00:00,0.00014611
1617897600005,2021-04-08T16:00:00.005000+00:00,0.00029803
1617926400000,2021-04-09T00:00:00+00:00,0.00037645
1617955200004,2021-04-09T08:00:00.004000+00:00,0.00036623
1617984000002,2021-04-09T16:00:00.002000+00:00,0.0003524
1618012800003,2021-04-10T00:00:00.003000+00:00,0.00033523
1618041600000,2021-04-10T08:00:00+00:00,0.00186012
1618070400000,2021-04-10T16:00:00+00:00,0.00106688
1618099200005,2021-04-11T00:00:00.005000+00:00,0.00067294
1618128000001,2021-04-11T08:00:00.001000+00:00,0.00114647
1618156800007,2021-04-11T16:00:00.007000+00:00,0.00110284
1618185600001,2021-04-12T00:00:00.001000+00:00,0.00107581
1618214400000,2021-04-12T08:00:00+00:00,0.00121613
1618243200000,2021-04-12T16:00:00+00:00,0.00069707
1618272000001,2021-04-13T00:00:00.001000+00:00,0.000909
1618300800009,2021-04-13T08:00:00.009000+00:00,0.00110357
1618329600008,2021-04-13T16:00:00.008000+00:00,0.00093884
1618358400003,2021-04-14T00:00:00.003000+00:00,0.00095895
1618387200002,2021-04-14T08:00:00.002000+00:00,0.00105237
1618416000001,2021-04-14T16:00:00.001000+00:00,0.00124363
1618444800011,2021-04-15T00:00:00.011000+00:00,0.00047903
1618473600002,2021-04-15T08:00:00.002000+00:00,0.00067109
1618502400000,2021-04-15T16:00:00+00:00,0.00072744
1618531200006,2021-04-16T00:00:00.006000+00:00,0.00085573
1618560000006,2021-04-16T08:00:00.006000+00:00,0.00058447
1618588800001,2021-04-16T16:00:00.001000+00:00,0.0001
1618617600010,2021-04-17T00:00:00.010000+00:00,0.00022969
1618646400000,2021-04-17T08:00:00+00:00,0.00042703
1618675200001,2021-04-17T16:00:00.001000+00:00,0.00051415
1618704000001,2021-04-18T00:00:00.001000+00:00,0.00048527
1618732800000,2021-04-18T08:00:00+00:00,-0.0004592
1618761600003,2021-04-18T16:00:00.003000+00:00,0.0001
1618790400000,2021-04-19T00:00:00+00:00,0.0001
1618819200000,2021-04-19T08:00:00+00:00,0.0001
1618848000009,2021-04-19T16:00:00.009000+00:00,0.0001
1618876800002,2021-04-20T00:00:00.002000+00:00,0.0001
1618905600002,2021-04-20T08:00:00.002000+00:00,0.0001
1618934400000,2021-04-20T16:00:00+00:00,0.0001
1618963200013,2021-04-21T00:00:00.013000+00:00,0.0001
1618992000004,2021-04-21T08:00:00.004000+00:00,0.0001
1619020800000,2021-04-21T16:00:00+00:00,0.0001
1619049600001,2021-04-22T00:00:00.001000+00:00,0.0001
1619078400007,2021-04-22T08:00:00.007000+00:00,0.00015677
1619107200004,2021-04-22T16:00:00.004000+00:00,0.00031585
1619136000007,2021-04-23T00:00:00.007000+00:00,0.0001
1619164800008,2021-04-23T08:00:00.008000+00:00,0.0001
1619193600015,2021-04-23T16:00:00.015000+00:00,9.275e-05
1619222400010,2021-04-24T00:00:00.010000+00:00,4.988e-05
1619251200003,2021-04-24T08:00:00.003000+00:00,0.0001
1619280000001,2021-04-24T16:00:00.001000+00:00,0.0001
1619308800008,2021-04-25T00:00:00.008000+00:00,0.0001
1619337600009,2021-04-25T08:00:00.009000+00:00,0.0001
1619366400003,2021-04-25T16:00:00.003000+00:00,0.0001
1619395200002,2021-04-26T00:00:00.002000+00:00,0.0001
1619424000000,2021-04-26T08:00:00+00:00,3.505e-05
1619452800000,2021-04-26T16:00:00+00:00,0.0001
1619481600002,2021-04-27T00:00:00.002000+00:00,0.0001
1619510400010,2021-04-27T08:00:00.010000+00:00,6.776e-05
1619539200013,2021-04-27T16:00:00.013000+00:00,0.0001
1619568000000,2021-04-28T00:00:00+00:00,0.0001
1619596800017,2021-04-28T08:00:00.017000+00:00,0.0001
1619625600000,2021-04-28T16:00:00+00:00,0.0001
1619654400004,2021-04-29T00:00:00.004000+00:00,0.0001
1619683200017,2021-04-29T08:00:00.017000+00:00,0.0001
1619712000011,2021-04-29T16:00:00.011000+00:00,0.0001
1619740800011,2021-04-30T00:00:00.011000+00:00,0.0001
1619769600016,2021-04-30T08:00:00.016000+00:00,0.0001
1619798400002,2021-04-30T16:00:00.002000+00:00,0.0001
1619827200007,2021-05-01T00:00:00.007000+00:00,0.0001
1619856000001,2021-05-01T08:00:00.001000+00:00,0.00012787
1619884800000,2021-05-01T16:00:00+00:00,0.00038127
1619913600007,2021-05-02T00:00:00.007000+00:00,0.00023699
1619942400000,2021-05-02T08:00:00+00:00,0.00034506
1619971200002,2021-05-02T16:00:00.002000+00:00,0.00034172
1620000000002,2021-05-03T00:00:00.002000+00:00,0.00026773
1620028800000,2021-05-03T08:00:00+00:00,0.0005603
1620057600000,2021-05-03T16:00:00+00:00,0.00047049
